Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Access + HMO	Local Access + HMO	Access + HMO Savenet
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Generic		Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 20-500	IN	Skilled Nursing	$100 	per day 100 visits per calendar year	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500	Access + HMO Per Admit 20-500
Blue Shield	Access + HMO Per Admit 25-750	IN	Individual Deductible	$0 		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Family Deductible	$0 		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Individual OOP Limit	"$2,000 "		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Family OOP Limit	"$4,000 "		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Co-insurance	100%		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	PCP	$25 	$40 for Access+ Specialist 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Specialist	$25 		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Preventive Care	100%		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Physical Therapy	$25 		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Chiropractic Care		Rider available	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Inpatient Hospital	$750 	Per admit	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Outpatient Facility	$150 	per occurance	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Outpatient Surgery	$300 	per occurance	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Lab/X-Ray	100%		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Advanced Radiology		TBD	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Emergency Room	$100 	waived if admitted	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Ambulance	$100 		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Urgent Care	$25 		Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Generic		Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 25-750	IN	Skilled Nursing	$100 	per day 100 visits per calendar year	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750	Access + HMO Per Admit 25-750
Blue Shield	Access + HMO Per Admit 40-1000	IN	Individual Deductible	$0 		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Family Deductible	$0 		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Individual OOP Limit	"$2,500 "		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Family OOP Limit	"$5,000 "		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Co-insurance	100%		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	PCP	$40 	$50 for Access+ Specialist 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Specialist	$40 		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Preventive Care	100%		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Physical Therapy	$40 		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Chiropractic Care		Rider available	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Inpatient Hospital	"$1,000 "	Per admit	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Outpatient Facility	$250 	per occurance	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Outpatient Surgery	$500 	per occurance	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Lab/X-Ray	100%		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Advanced Radiology		TBD	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Emergency Room	$100 	waived if admitted	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Ambulance	$100 		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Urgent Care	$40 		Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Generic		Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Per Admit 40-1000	IN	Skilled Nursing	$50 	per day 100 visits per calendar year	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000	Access + HMO Per Admit 40-1000
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Individual Deductible	$0 		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Family Deductible	$0 		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Individual OOP Limit	"$1,500 "		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Family OOP Limit	"$3,000 "		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Co-insurance	80%		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	PCP	$15 	$30 for Access+ Specialist 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%		Specialist	$15 		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Preventive Care	100%		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Physical Therapy	$15 		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Chiropractic Care		Rider available	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Inpatient Hospital	$100 	"plus 20%, per admit"	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Outpatient Facility	20%		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Outpatient Surgery	20%		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Lab/X-Ray	100%		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Advanced Radiology		TBD	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Emergency Room	$100 	waived if admitted	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Ambulance	$100 		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Urgent Care	$15 		Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Generic		Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 15-20%	IN	Skilled Nursing	20%	per day 100 visits per calendar year	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%	Access + HMO Facility Coinsurance 15-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Individual Deductible	$0 		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Family Deductible	$0 		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Individual OOP Limit	"$2,000 "		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Family OOP Limit	"$4,000 "		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Co-insurance	80%		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	PCP	$20 	$35 for Access+ Specialist 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%		Specialist	$20 		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Preventive Care	100%		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Physical Therapy	$20 		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Chiropractic Care		Rider available	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Inpatient Hospital	$100 	"plus 20%, per admit"	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Outpatient Facility	20%		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Outpatient Surgery	20%		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Lab/X-Ray	100%		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Advanced Radiology		TBD	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Emergency Room	$100 	waived if admitted	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Ambulance	$100 		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Urgent Care	$20 		Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Generic	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Rx Family Deductible	 	Separate from Medical 	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 20-20%	IN	Skilled Nursing	20%	per day 100 visits per calendar year	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%	Access + HMO Facility Coinsurance 20-20%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Individual Deductible	$0 		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Family Deductible	$0 		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Individual OOP Limit	"$3,000 "		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Family OOP Limit	"$6,000 "		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Co-insurance	75%		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	PCP	$25 	$40 for Access+ Specialist 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Specialist	$25 		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Preventive Care	100%		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Physical Therapy	$25 		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Chiropractic Care		Rider available	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Inpatient Hospital	$100 	plus 25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Outpatient Facility	25%		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Outpatient Surgery	25%		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Lab/X-Ray	100%		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Advanced Radiology		TBD	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Emergency Room	$100 	waived if admitted	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Ambulance	$100 		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Urgent Care	$25 		Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Rx Generic	 	Separate from Medical 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Rx Preferred	 	Separate from Medical 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Rx Non-Preferred	 	Separate from Medical 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Rx Specialty	 	Separate from Medical 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Rx Mail Order	 	Separate from Medical 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
Blue Shield	Access + HMO Facility Coinsurance 25-25%	IN	Rx Individual Deductible	 	Separate from Medical 	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%	Access + HMO Facility Coinsurance 25-25%
