Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Select Network
Blue Shield		IN	Rx Generic	$10		Comb Ded 1000/30/30
Blue Shield		IN	Rx Preferred	$25		Comb Ded 1000/30/30
Blue Shield		IN	Rx Non-Preferred	$45		Comb Ded 1000/30/30
Blue Shield		IN	Rx Specialty	20%	$150 max per Rx	Comb Ded 1000/30/30
Blue Shield		IN	Rx Mail Order	2x	copay except generic	Comb Ded 1000/30/30
Blue Shield		IN	Rx Individual Deductible			Comb Ded 1000/30/30
Blue Shield		IN	Rx Family Deductible			Comb Ded 1000/30/30
Blue Shield		IN	Skilled Nursing	30%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Individual Deductible	"$2,000"		Comb Ded 1000/30/30
Blue Shield		OUT	Family Deductible	"$4,000"		Comb Ded 1000/30/30
Blue Shield		OUT	Individual OOP Limit	"$6,000"		Comb Ded 1000/30/30
Blue Shield		OUT	Family OOP Limit	"$12,000"		Comb Ded 1000/30/30
Blue Shield		OUT	Co-insurance	50%		Comb Ded 1000/30/30
Blue Shield		OUT	PCP	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Specialist	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Preventive Care	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Physical Therapy	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Chiropractic Care	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Inpatient Hospital	$250	"plus 30%, after deductible"	Comb Ded 1000/30/30
Blue Shield		OUT	Outpatient Facility	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Outpatient Surgery	50%	$350 coverage max (after deductible)	Comb Ded 1000/30/30
Blue Shield		OUT	Lab/X-Ray	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Advanced Radiology	50%	$800 coverage max (after deductible)	Comb Ded 1000/30/30
Blue Shield		OUT	Emergency Room	$100	plus 30%	Comb Ded 1000/30/30
Blue Shield		OUT	Ambulance	30%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Urgent Care	50%	after deductible	Comb Ded 1000/30/30
Blue Shield		OUT	Rx Generic	$10	plus 50%	Comb Ded 1000/30/30
Blue Shield		OUT	Rx Preferred	$50	plus 50%	Comb Ded 1000/30/30
Blue Shield		OUT	Rx Non-Preferred	$45	plus 50%	Comb Ded 1000/30/30
Blue Shield		OUT	Rx Specialty	20%	plus 50%	Comb Ded 1000/30/30
Blue Shield		OUT	Rx Mail Order	Not Covered		Comb Ded 1000/30/30
Blue Shield		OUT	Rx Individual Deductible			Comb Ded 1000/30/30
Blue Shield		OUT	Rx Family Deductible			Comb Ded 1000/30/30
Blue Shield		OUT	Skilled Nursing	50%	after deductible	Comb Ded 1000/30/30
