Carrier	Plan	IN/OON	Benefit name	benefit value	value detail	Traditional	Select	Select +
Anthem Blue Cross	Premier HMO 30	IN	Advanced Radiology	$100 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Emergency Room	$100 	waived if admitted	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Ambulance	$100 	per trip 	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Urgent Care	$30 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Generic	$10 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Preferred	$25 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Non-Preferred	$45 		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Specialty	20%	up to $150 maximum copay	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Mail Order	2x		Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Individual Deductible			Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Rx Family Deductible			Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Premier HMO 30	IN	Skilled Nursing	100%	100 visits per calendar year	Premier HMO 30	Premier HMO 30	Premier HMO 30
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Individual Deductible	$0 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Family Deductible	$0 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Individual OOP Limit	"$2,000 "		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Family OOP Limit	"$4,000 "		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Co-insurance	100%		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	PCP	$15 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Specialist	$30 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Preventive Care	100%		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Physical Therapy	$15 	"$30 in outpatient facility, limited to 60-day period of care"	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Chiropractic Care		Rider available	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Inpatient Hospital	$250 	per admit	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Outpatient Facility	$125 	per occurance	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Outpatient Surgery	$125 	per occurance	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Lab/X-Ray	100%		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Advanced Radiology	$100 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Emergency Room	$100 	waived if admitted	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Ambulance	$100 	per trip 	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Urgent Care	$30 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Generic	$10 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Preferred	$30 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Non-Preferred	$50 		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Specialty	30%	up to $150 maximum copay	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Mail Order	2x		Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Individual Deductible			Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Rx Family Deductible			Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 15/30/250 admit / 125 OP	IN	Skilled Nursing	100%	100 visits per calendar year	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP	Classic HMO 15/30/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Individual Deductible	$0 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Family Deductible	$0 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Individual OOP Limit	"$2,000 "		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Family OOP Limit	"$4,000 "		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Co-insurance	100%		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	PCP	$20 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Specialist	$40 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Preventive Care	100%		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Physical Therapy	$20 	"$40 in outpatient setting, imited to 60-day period of care"	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Chiropractic Care		Rider available	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Inpatient Hospital	$250 	per admit	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Outpatient Facility	$125 	per occurance	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Outpatient Surgery	$125 	per occurance	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Lab/X-Ray	100%		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Advanced Radiology	$100 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Emergency Room	$100 	waived if admitted	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Ambulance	$100 	per trip 	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Urgent Care	$40 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Generic	$10 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Preferred	$30 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Non-Preferred	$50 		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Specialty	30%	up to $150 maximum copay	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Mail Order	2x		Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Individual Deductible			Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Rx Family Deductible			Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 20/40/250 admit / 125 OP	IN	Skilled Nursing	100%	100 visits per calendar year	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP	Classic HMO 20/40/250 admit / 125 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Individual Deductible	$0 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Family Deductible	$0 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Individual OOP Limit	"$2,500 "		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Family OOP Limit	"$5,000 "		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Co-insurance	100%		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	PCP	$30 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Specialist	$40 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Preventive Care	100%		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Physical Therapy	$30 	"$40 in outpatient setting, imited to 60-day period of care"	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Chiropractic Care		Rider available	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Inpatient Hospital	$500 	per admit	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Outpatient Facility	$250 	per occurance	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Outpatient Surgery	$250 	per occurance	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Lab/X-Ray	100%		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Advanced Radiology	$100 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Emergency Room	$100 	waived if admitted	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Ambulance	$100 	per trip 	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Urgent Care	$40 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Generic	$10 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Preferred	$30 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Non-Preferred	$50 		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Specialty	30%	up to $150 maximum copay	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Mail Order	2x		Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Individual Deductible			Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Rx Family Deductible			Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 30/40/500 admit / 250 OP	IN	Skilled Nursing	100%	100 visits per calendar year	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP	Classic HMO 30/40/500 admit / 250 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Individual Deductible	$0 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Family Deductible	$0 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Individual OOP Limit	"$2,500 "		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Family OOP Limit	"$5,000 "		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Co-insurance	100%		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	PCP	$35 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Specialist	$45 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Preventive Care	100%		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Physical Therapy	$35 	"$45 in outpatient seeting, limited to 60-day period of care"	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Chiropractic Care		Rider available	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Inpatient Hospital	$750 	per admit	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Outpatient Facility	$375 	per occurance	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Outpatient Surgery	$375 	per occurance	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Lab/X-Ray	100%		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Advanced Radiology	$100 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Emergency Room	$100 	waived if admitted	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Ambulance	$100 	per trip 	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Urgent Care	$45 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Generic	$10 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Preferred	$30 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Non-Preferred	$50 		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Specialty	30%	up to $150 maximum copay	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Mail Order	2x		Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Individual Deductible			Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Rx Family Deductible			Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Classic HMO 35/45/750 admit / 375 OP	IN	Skilled Nursing	100%	100 visits per calendar year	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP	Classic HMO 35/45/750 admit / 375 OP
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Individual Deductible	$0 		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Family Deductible	$0 		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Individual OOP Limit	"$3,000 "		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Family OOP Limit	"$6,000 "		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Co-insurance	100%		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	PCP	$20 		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Specialist	$40 		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Preventive Care	100%		Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Physical Therapy	$20 	"$40 in outpatient setting, limited to 60-day period of care"	Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Chiropractic Care		Rider available	Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Inpatient Hospital	$250 	per day max 3 days	Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
Anthem Blue Cross	Value 20/40/250/ 3day	IN	Outpatient Facility	$125 	per occurance	Value 20/40/250/ 3day	Value 20/40/250/ 3day	Value 20/40/250/ 3day
